Age,LicenceHolders,NewLicences2018_19
17,416397,172199
18,563499,112983
19,621926,63153
20,651273,46378
21,663924,39939
22,683869,36891
23,710600,32526
24,731175,27946
25,767105,25299
26,787971,22789
27,810349,20302
28,810274,18676
29,837959,17588
30,837446,16694
31,831626,15353
32,846403,14553
33,833863,13084
34,839359,11917
35,849459,10877
36,865171,9709
37,889711,8871
38,867486,7672
39,818037,6437
40,796195,5456
41,817280,4899
42,827537,4324
43,859121,3770
44,882724,3279
45,928448,2942
46,980435,2567
47,964477,2376
48,982307,2046
49,994382,1774
50,998610,1570
51,1004986,1365
52,1012525,1192
53,1005996,1019
54,975718,867
55,947426,808
56,907029,673
57,881552,559
58,844562,456
59,818088,382
60,790256,266
61,759809,NA
62,721259,NA
63,715879,NA
64,710871,NA
65,692789,NA
66,680714,NA
67,688327,NA
68,705803,NA
69,728412,NA
70,587971,NA
71,493443,NA
72,420603,NA
73,422567,NA
74,380091,NA
75,343923,NA
76,274295,NA
77,274809,NA
78,272043,NA
79,240190,NA
80,221212,NA
81,205232,NA
82,165723,NA
83,150344,NA
84,133480,NA
85,102232,NA
86,92639,NA
87,82258,NA
88,52303,NA
89,44441,NA
90,37109,NA
91,20318,NA
92,16056,NA
93,13327,NA
94,5610,NA
95,4381,NA
96,3549,NA
97,1347,NA
98,625,NA
99,448,NA
100,112,NA
101,75,NA
102,49,NA
103,14,NA
104,7,NA
105,5,NA
106,4,NA
